msg_id,ts,channel,answered,response_minutes,loss_reason,intent,care_type
msg_20260208_00001,2026-02-08T08:41:00+00:00,whatsapp,True,120,,intake,complaint_damaged
msg_20260208_00002,2026-02-08T20:53:00+00:00,instagram,True,8,,custom,status
msg_20260208_00003,2026-02-08T19:58:00+00:00,website,True,35,,care,complaint_late
msg_20260208_00004,2026-02-08T11:11:00+00:00,instagram,True,20,,general,general_question
msg_20260208_00005,2026-02-08T17:24:00+00:00,website,True,20,,intake,status
msg_20260208_00006,2026-02-08T14:02:00+00:00,whatsapp,True,35,,general,complaint_damaged
msg_20260208_00007,2026-02-08T12:54:00+00:00,website,False,,allergen_unclear,care,complaint_late
msg_20260209_00008,2026-02-09T13:01:00+00:00,website,False,,no_reply_30min,custom,status
msg_20260209_00009,2026-02-09T20:50:00+00:00,instagram,False,,no_reply_30min,intake,status
msg_20260209_00010,2026-02-09T17:03:00+00:00,instagram,True,12,,intake,complaint_damaged
msg_20260210_00011,2026-02-10T13:57:00+00:00,website,True,12,,intake,complaint_late
msg_20260210_00012,2026-02-10T10:29:00+00:00,website,True,20,,intake,general_question
msg_20260210_00013,2026-02-10T13:23:00+00:00,website,True,3,,custom,status
msg_20260210_00014,2026-02-10T14:13:00+00:00,whatsapp,True,20,,intake,refund_request
msg_20260210_00015,2026-02-10T12:46:00+00:00,website,True,60,,custom,complaint_taste
msg_20260210_00016,2026-02-10T19:34:00+00:00,website,True,35,,custom,general_question
msg_20260210_00017,2026-02-10T11:52:00+00:00,instagram,True,5,,general,status
msg_20260210_00018,2026-02-10T14:24:00+00:00,website,True,8,,care,complaint_taste
msg_20260210_00019,2026-02-10T19:05:00+00:00,website,True,12,,general,complaint_damaged
msg_20260210_00020,2026-02-10T19:18:00+00:00,instagram,False,,no_reply_30min,care,refund_request
msg_20260210_00021,2026-02-10T11:26:00+00:00,instagram,True,20,,care,complaint_late
msg_20260210_00022,2026-02-10T18:37:00+00:00,website,True,60,,intake,complaint_damaged
msg_20260210_00023,2026-02-10T19:02:00+00:00,instagram,False,,no_reply_30min,custom,general_question
msg_20260210_00024,2026-02-10T12:23:00+00:00,website,True,20,,intake,general_question
msg_20260210_00025,2026-02-10T21:32:00+00:00,instagram,False,,no_reply_30min,care,complaint_taste
msg_20260210_00026,2026-02-10T13:16:00+00:00,website,True,120,,intake,complaint_damaged
msg_20260210_00027,2026-02-10T11:51:00+00:00,website,True,3,,intake,complaint_damaged
msg_20260210_00028,2026-02-10T20:53:00+00:00,website,True,60,,care,complaint_taste
msg_20260210_00029,2026-02-10T12:04:00+00:00,instagram,True,3,,intake,complaint_late
msg_20260210_00030,2026-02-10T17:10:00+00:00,instagram,True,20,,intake,complaint_late
msg_20260210_00031,2026-02-10T14:48:00+00:00,website,True,12,,intake,complaint_late
msg_20260211_00032,2026-02-11T14:29:00+00:00,instagram,False,,no_reply_30min,custom,complaint_taste
msg_20260211_00033,2026-02-11T08:04:00+00:00,website,False,,no_reply_30min,intake,refund_request
msg_20260211_00034,2026-02-11T15:50:00+00:00,website,True,3,,custom,complaint_damaged
msg_20260211_00035,2026-02-11T20:50:00+00:00,website,True,20,,care,status
msg_20260211_00036,2026-02-11T17:51:00+00:00,instagram,True,35,,general,general_question
msg_20260211_00037,2026-02-11T19:41:00+00:00,website,False,,no_reply_30min,intake,status
msg_20260211_00038,2026-02-11T14:42:00+00:00,whatsapp,True,5,,custom,complaint_taste
msg_20260211_00039,2026-02-11T17:56:00+00:00,website,True,60,,custom,general_question
msg_20260212_00040,2026-02-12T15:07:00+00:00,instagram,True,120,,intake,refund_request
msg_20260212_00041,2026-02-12T19:00:00+00:00,website,False,,no_reply_30min,intake,general_question
msg_20260212_00042,2026-02-12T12:02:00+00:00,instagram,True,20,,intake,refund_request
msg_20260212_00043,2026-02-12T12:54:00+00:00,website,True,120,,intake,complaint_late
msg_20260212_00044,2026-02-12T15:13:00+00:00,website,False,,no_reply_30min,custom,status
msg_20260212_00045,2026-02-12T19:44:00+00:00,website,True,35,,care,general_question
msg_20260212_00046,2026-02-12T21:44:00+00:00,website,False,,allergen_unclear,care,status
msg_20260212_00047,2026-02-12T12:41:00+00:00,instagram,False,,no_reply_30min,intake,complaint_damaged
msg_20260212_00048,2026-02-12T10:54:00+00:00,instagram,False,,no_reply_30min,intake,general_question
msg_20260212_00049,2026-02-12T13:16:00+00:00,whatsapp,True,8,,intake,complaint_taste
msg_20260213_00050,2026-02-13T19:40:00+00:00,instagram,False,,price_concern,care,status
msg_20260213_00051,2026-02-13T21:44:00+00:00,instagram,True,20,,custom,status
msg_20260213_00052,2026-02-13T10:46:00+00:00,website,False,,price_concern,intake,complaint_damaged
msg_20260213_00053,2026-02-13T15:18:00+00:00,whatsapp,True,60,,intake,refund_request
msg_20260213_00054,2026-02-13T21:47:00+00:00,instagram,False,,no_reply_30min,intake,refund_request
msg_20260213_00055,2026-02-13T11:33:00+00:00,website,True,20,,intake,status
msg_20260213_00056,2026-02-13T12:23:00+00:00,website,True,20,,custom,complaint_taste
msg_20260213_00057,2026-02-13T19:28:00+00:00,instagram,True,35,,care,complaint_damaged
msg_20260213_00058,2026-02-13T17:57:00+00:00,instagram,True,5,,intake,complaint_damaged
msg_20260213_00059,2026-02-13T15:15:00+00:00,website,True,35,,intake,status
msg_20260213_00060,2026-02-13T11:22:00+00:00,whatsapp,False,,no_reply_30min,intake,complaint_taste
msg_20260213_00061,2026-02-13T18:03:00+00:00,website,True,20,,intake,complaint_taste
msg_20260213_00062,2026-02-13T12:08:00+00:00,instagram,True,3,,intake,status
msg_20260213_00063,2026-02-13T18:23:00+00:00,whatsapp,True,60,,care,status
msg_20260213_00064,2026-02-13T19:26:00+00:00,website,True,60,,intake,refund_request
msg_20260213_00065,2026-02-13T20:53:00+00:00,website,True,20,,intake,refund_request
msg_20260213_00066,2026-02-13T15:44:00+00:00,website,True,12,,custom,general_question
msg_20260213_00067,2026-02-13T21:01:00+00:00,whatsapp,True,12,,intake,complaint_late
msg_20260213_00068,2026-02-13T10:12:00+00:00,website,False,,date_unavailable,custom,refund_request
msg_20260213_00069,2026-02-13T14:50:00+00:00,whatsapp,True,35,,intake,complaint_late
msg_20260213_00070,2026-02-13T17:03:00+00:00,website,True,8,,intake,refund_request
msg_20260213_00071,2026-02-13T21:23:00+00:00,instagram,True,120,,intake,complaint_damaged
msg_20260213_00072,2026-02-13T17:15:00+00:00,whatsapp,False,,no_reply_30min,general,complaint_damaged
msg_20260213_00073,2026-02-13T19:44:00+00:00,instagram,True,8,,intake,refund_request
msg_20260213_00074,2026-02-13T19:07:00+00:00,instagram,True,120,,intake,refund_request
msg_20260214_00075,2026-02-14T12:03:00+00:00,website,True,20,,intake,status
msg_20260214_00076,2026-02-14T12:25:00+00:00,website,True,20,,custom,general_question
msg_20260214_00077,2026-02-14T19:57:00+00:00,website,True,8,,custom,complaint_late
msg_20260214_00078,2026-02-14T20:19:00+00:00,whatsapp,True,20,,general,general_question
msg_20260214_00079,2026-02-14T13:46:00+00:00,instagram,True,8,,care,complaint_late
msg_20260214_00080,2026-02-14T12:19:00+00:00,website,True,35,,custom,complaint_taste
msg_20260214_00081,2026-02-14T14:39:00+00:00,instagram,True,120,,intake,general_question
msg_20260214_00082,2026-02-14T09:29:00+00:00,whatsapp,True,5,,care,complaint_taste
msg_20260214_00083,2026-02-14T16:30:00+00:00,website,True,20,,intake,status
msg_20260214_00084,2026-02-14T20:27:00+00:00,whatsapp,True,60,,intake,status
msg_20260214_00085,2026-02-14T20:34:00+00:00,instagram,True,12,,custom,refund_request
msg_20260214_00086,2026-02-14T21:03:00+00:00,website,True,60,,care,status
msg_20260214_00087,2026-02-14T19:53:00+00:00,website,True,35,,intake,complaint_late
